단어 (히라가나),한글 발음,한자 표기,뜻 (한국어)
あい,아이,愛,사랑
あう,아우,会う,만나다
あお,아오,青,"파랑, 푸른색"
い,이,胃,위 (장기)
いう,이우,言う,말하다
いえ,이에,家,집
いけ,이케,池,연못
うえ,우에,上,"위, 윗부분"
え,에,絵,그림
えい,에이,英,"영(英), 영국"
お,오,(조사),(문장의) ...를/을 (목적격 조사)
おい,오이,甥,조카 (남)
