히라가나,한글 발음,한자 표기,한국어 뜻
がくせい,가쿠세이,学生,학생
ひと,히토,人,사람
かっこいい,칵코이이,かっこいい,"멋지다, 잘생기다"
べんごし,벤고시,弁護士,변호사
やさしい,야사시이,優しい / 易しい,"상냥하다, 쉽다"
せんせい,센세이,先生,선생님
いしゃ,이샤,医者,의사
です,(조사),~입니다
と,토,(조사),~와/과
みず,미즈,水,물
ごはん,고한,ご飯,밥/식사
すし,스시,寿司,초밥
ください,쿠다사이,ください,주세요
おちゃ,오챠,お茶,차/녹차
さん,상,(접미사),~씨
こんばんは,콘방와,今晩は,안녕하세요 (저녁 인사)
なおみ,나오미,直美 / 尚美,나오미 (이름)
はな,하나,花,"꽃, 하나 (이름)"
どうぞよろしく,도-조 요로시쿠,(인사말),부디 잘 부탁드립니다
こんにちは,콘니치와,(인사말),안녕하세요 (낮 인사)
けん,켄,健 / 券,"켄 (이름), 권 (티켓)"
